t,t = current_step,P_usage[t-1] (kW),price[t+0] ($/kWh),price[t+1] ($/kWh),price[t+2] ($/kWh),price[t+3] ($/kWh),price[t+4] ($/kWh),price[t+5] ($/kWh),price[t+6] ($/kWh),price[t+7] ($/kWh),price[t+8] ($/kWh),price[t+9] ($/kWh),price[t+10] ($/kWh),price[t+11] ($/kWh),price[t+12] ($/kWh),price[t+13] ($/kWh),price[t+14] ($/kWh),price[t+15] ($/kWh),price[t+16] ($/kWh),price[t+17] ($/kWh),price[t+18] ($/kWh),price[t+19] ($/kWh),demand[t+0] (kW),demand[t+1] (kW),demand[t+2] (kW),demand[t+3] (kW),demand[t+4] (kW),demand[t+5] (kW),demand[t+6] (kW),demand[t+7] (kW),demand[t+8] (kW),demand[t+9] (kW),demand[t+10] (kW),demand[t+11] (kW),demand[t+12] (kW),demand[t+13] (kW),demand[t+14] (kW),demand[t+15] (kW),demand[t+16] (kW),demand[t+17] (kW),demand[t+18] (kW),demand[t+19] (kW),power_limit[t+0] (kW),power_limit[t+1] (kW),power_limit[t+2] (kW),power_limit[t+3] (kW),power_limit[t+4] (kW),power_limit[t+5] (kW),power_limit[t+6] (kW),power_limit[t+7] (kW),power_limit[t+8] (kW),power_limit[t+9] (kW),power_limit[t+10] (kW),power_limit[t+11] (kW),power_limit[t+12] (kW),power_limit[t+13] (kW),power_limit[t+14] (kW),power_limit[t+15] (kW),power_limit[t+16] (kW),power_limit[t+17] (kW),power_limit[t+18] (kW),power_limit[t+19] (kW),ev[0].SOC (0~1),ev[0].arrival_time/sim_len,ev[0].departure_time/sim_len,ev[0].req_soc = required_energy/cap,ev[1].SOC (0~1),ev[1].arrival_time/sim_len,ev[1].departure_time/sim_len,ev[1].req_soc = required_energy/cap,ev[2].SOC (0~1),ev[2].arrival_time/sim_len,ev[2].departure_time/sim_len,ev[2].req_soc = required_energy/cap,ev[3].SOC (0~1),ev[3].arrival_time/sim_len,ev[3].departure_time/sim_len,ev[3].req_soc = required_energy/cap,ev[4].SOC (0~1),ev[4].arrival_time/sim_len,ev[4].departure_time/sim_len,ev[4].req_soc = required_energy/cap,ev[5].SOC (0~1),ev[5].arrival_time/sim_len,ev[5].departure_time/sim_len,ev[5].req_soc = required_energy/cap,ev[6].SOC (0~1),ev[6].arrival_time/sim_len,ev[6].departure_time/sim_len,ev[6].req_soc = required_energy/cap,ev[7].SOC (0~1),ev[7].arrival_time/sim_len,ev[7].departure_time/sim_len,ev[7].req_soc = required_energy/cap,ev[8].SOC (0~1),ev[8].arrival_time/sim_len,ev[8].departure_time/sim_len,ev[8].req_soc = required_energy/cap,ev[9].SOC (0~1),ev[9].arrival_time/sim_len,ev[9].departure_time/sim_len,ev[9].req_soc = required_energy/cap,ev[10].SOC (0~1),ev[10].arrival_time/sim_len,ev[10].departure_time/sim_len,ev[10].req_soc = required_energy/cap,ev[11].SOC (0~1),ev[11].arrival_time/sim_len,ev[11].departure_time/sim_len,ev[11].req_soc = required_energy/cap,ev[12].SOC (0~1),ev[12].arrival_time/sim_len,ev[12].departure_time/sim_len,ev[12].req_soc = required_energy/cap,ev[13].SOC (0~1),ev[13].arrival_time/sim_len,ev[13].departure_time/sim_len,ev[13].req_soc = required_energy/cap,ev[14].SOC (0~1),ev[14].arrival_time/sim_len,ev[14].departure_time/sim_len,ev[14].req_soc = required_energy/cap,ev[15].SOC (0~1),ev[15].arrival_time/sim_len,ev[15].departure_time/sim_len,ev[15].req_soc = required_energy/cap,ev[16].SOC (0~1),ev[16].arrival_time/sim_len,ev[16].departure_time/sim_len,ev[16].req_soc = required_energy/cap,ev[17].SOC (0~1),ev[17].arrival_time/sim_len,ev[17].departure_time/sim_len,ev[17].req_soc = required_energy/cap,ev[18].SOC (0~1),ev[18].arrival_time/sim_len,ev[18].departure_time/sim_len,ev[18].req_soc = required_energy/cap,ev[19].SOC (0~1),ev[19].arrival_time/sim_len,ev[19].departure_time/sim_len,ev[19].req_soc = required_energy/cap,ev[20].SOC (0~1),ev[20].arrival_time/sim_len,ev[20].departure_time/sim_len,ev[20].req_soc = required_energy/cap,ev[21].SOC (0~1),ev[21].arrival_time/sim_len,ev[21].departure_time/sim_len,ev[21].req_soc = required_energy/cap,ev[22].SOC (0~1),ev[22].arrival_time/sim_len,ev[22].departure_time/sim_len,ev[22].req_soc = required_energy/cap,ev[23].SOC (0~1),ev[23].arrival_time/sim_len,ev[23].departure_time/sim_len,ev[23].req_soc = required_energy/cap,ev[24].SOC (0~1),ev[24].arrival_time/sim_len,ev[24].departure_time/sim_len,ev[24].req_soc = required_energy/cap
0,0.0,0.0,0.14373,0.14373,0.14373,0.14373,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,30.516992977080395,7.717028202271523,9.900881120773583,11.247032326401225,10.017280124126517,8.599366810746236,9.468146486021567,16.48924054552956,18.42924787671065,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.14373,0.14373,0.14373,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,29.98213429748996,9.900881120773583,11.247032326401225,10.017280124126517,8.599366810746236,9.468146486021567,16.48924054552956,18.42924787671065,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.0,0.14373,0.14373,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,0.17567,32.50017684522465,11.247032326401225,10.017280124126517,8.599366810746236,9.468146486021567,16.48924054552956,18.42924787671065,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,8.782431819795987,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.0,0.14373,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,0.17567,0.17567,32.614360158845074,10.017280124126517,8.599366810746236,9.468146486021567,16.48924054552956,18.42924787671065,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,8.782431819795987,10.742756877220714,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.03,0.51,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,-11.0,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,0.17567,0.17567,0.17567,33.29345039248235,8.599366810746236,9.468146486021567,16.48924054552956,18.42924787671065,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,8.782431819795987,10.742756877220714,12.14781310035639,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.03,0.51,0.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,-11.0,0.14543999999999999,0.14543999999999999,0.14543999999999999,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,0.17567,0.17567,0.17567,0.20065,28.38957755488928,9.468146486021567,16.48924054552956,18.42924787671065,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,8.782431819795987,10.742756877220714,12.14781310035639,8.143614786316855,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.51,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,-6.0,0.14543999999999999,0.14543999999999999,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,0.17567,0.17567,0.17567,0.20065,0.20065,27.584284711461006,16.48924054552956,18.42924787671065,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,8.782431819795987,10.742756877220714,12.14781310035639,8.143614786316855,9.090105766885062,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.51,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.0,0.14543999999999999,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,0.17567,0.17567,0.17567,0.20065,0.20065,0.20065,50.444986027887516,18.42924787671065,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,8.782431819795987,10.742756877220714,12.14781310035639,8.143614786316855,9.090105766885062,14.51496709381577,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.4,0.9,0.0,0.0,0.0,0.0,0.2,0.03,0.51,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.0,0.14213,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,0.17567,0.17567,0.17567,0.20065,0.20065,0.20065,0.20065,45.91371137158215,6.939646119605164,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,8.782431819795987,10.742756877220714,12.14781310035639,8.143614786316855,9.090105766885062,14.51496709381577,18.468249032154194,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.4,0.9,0.0,0.0,0.0,0.0,0.2,0.03,0.51,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.0,0.14213,0.14213,0.14213,0.1401,0.1401,0.1401,0.1401,0.14893,0.14893,0.14893,0.14893,0.17567,0.17567,0.17567,0.17567,0.20065,0.20065,0.20065,0.20065,0.21339,24.537393132221197,6.6840782590411125,7.4013777468237745,10.044209473879542,6.747721446985032,9.352051127500522,13.343806544486565,22.03852341714752,14.26853711166774,18.94341351687079,7.991312312606403,9.520736272030094,8.782431819795987,10.742756877220714,12.14781310035639,8.143614786316855,9.090105766885062,14.51496709381577,18.468249032154194,22.792893519510695,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.4,0.9,0.0,0.0,0.0,0.0,0.2,0.03,0.51,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
